"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"ArfimaMLM"|"1.3"|NA|"R (>= 3.0.0), lme4, fractal"|"fracdiff"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ArgumentCheck"|"0.10.2"|NA|"R (>= 3.0.0)"|NA|NA|"knitr, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ArrayBin"|"0.2"|NA|"R (>= 2.15.0), SAGx"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AsioHeaders"|"1.11.0-1"|NA|NA|NA|NA|NA|NA|"BSL-1.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AssetPricing"|"1.0-0"|NA|"R (>= 0.99)"|"polynom, deSolve"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AssocTests"|"0.0-3"|NA|"cluster, mvtnorm, combinat, fExtremes, R(>= 2.10.0)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AssotesteR"|"0.1-10"|NA|"mvtnorm"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AsynchLong"|"2.0"|NA|"compiler, parallel, stats, graphics, methods"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AtelieR"|"0.24"|NA|"R (>= 2.10), proto, cairoDevice, gWidgetsRGtk2, partitions"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AtmRay"|"1.31"|NA|NA|NA|NA|"RSEIS"|NA|"GPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AutoModel"|"0.4.9"|NA|"R (>= 3.1.3),"|"lmtest, car, MASS, broom, rowr, ROCR, dplyr, BaylorEdPsych,
aod, gtools"|NA|"knitr, xtable, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AutoSEARCH"|"1.5"|NA|"R (>= 2.4.1), zoo, lgarch"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AutoregressionMDE"|"1.0"|NA|"R (>= 3.2.2)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AzureML"|"0.2.13"|NA|NA|"jsonlite(>= 0.9.16), curl(>= 0.8), foreign, codetools,
base64enc, miniCRAN, uuid"|NA|"testthat, knitr, rmarkdown, lme4, gbm, MASS"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"B2Z"|"1.4"|NA|"numDeriv, coda, mvtnorm"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BACA"|"1.3"|NA|"R (>= 3.0.0)"|"RDAVIDWebService, ggplot2, rJava"|NA|"knitr"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BACCO"|"2.0-9"|NA|"emulator (>= 1.2-13), calibrator (>= 1.2-5), approximator (>=
1.2-6)"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BACCT"|"1.0"|NA|"R (>= 2.10)"|"rjags, ggplot2, reshape2"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BACprior"|"2.0"|NA|"mvtnorm, leaps, boot"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BAEssd"|"1.0.1"|NA|"mvtnorm"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BAMMtools"|"2.1.4"|NA|"ape, R (>= 2.10)"|"Rcpp (>= 0.11.0), gplots, methods"|NA|"parallel"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BANFF"|"1.1"|NA|"R (>= 3.0.3), foreach, doParallel"|"DPpackage, igraph, mclust, pscl, tmvtnorm, network, coda,
graphics, methods, stats, utils"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BANOVA"|"0.7"|NA|"R (>= 3.0.1), rjags(>= 3-13), runjags (>= 1.2.1-0), coda (>=
0.16-1)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BASIX"|"1.1"|NA|"R (>= 2.14.2), methods"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BAS"|"1.4.0"|NA|"R (>= 3.0), stats, graphics"|NA|NA|"MASS, knitr, rmarkdown, GGally"|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BAT"|"1.5.4"|NA|"R (>= 3.0.0), graphics, nls2, raster, spatstat, stats, utils,
vegan"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BAYSTAR"|"0.2-9"|NA|"R (>= 3.0.1), mvtnorm, coda"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BBEST"|"0.1-6"|NA|NA|"DEoptim, wmtsa, grid, ggplot2, reshape2, shiny, methods"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BBMM"|"3.0"|NA|NA|NA|NA|NA|NA|"GNU General Public License"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BBRecapture"|"0.1"|NA|"R (>= 3.0.2), HI, locfit, lme4, secr"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BB"|"2014.10-1"|NA|"R (>= 2.6.1)"|"stats, quadprog"|NA|"setRNG, survival, Hmisc, numDeriv"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BBmisc"|"1.10"|NA|NA|"utils, methods, stats, checkmate (>= 1.8.0)"|NA|"testthat, microbenchmark, codetools"|NA|"BSD_3_clause + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCA"|"0.9-3"|NA|"R (>= 3.0.0)"|"RcmdrMisc (>= 1.0-1), Rcmdr (>= 2.1-0), car (>= 2.0-21),
rpart, flexclust, clv"|NA|"rgl"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCBCSF"|"1.0-1"|NA|"R (>= 2.13.1), abind"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCDating"|"0.9.7"|NA|"methods"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCEA"|"2.2-3"|NA|"R (>= 2.10)"|"MASS"|NA|"R2jags, R2OpenBUGS, ggplot2, grid, INLA, splancs, mgcv, ldr"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCEE"|"1.1"|NA|"BMA"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCE"|"2.1"|NA|"R (>= 2.0.1), FME, limSolve, Matrix"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCEs0"|"1.1-1"|NA|NA|NA|NA|"R2jags"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BCRA"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BDWreg"|"1.0.0"|NA|"R (>= 3.0)"|"coda, parallel, foreach, doParallel, MASS, methods, graphics,
stats, utils"|NA|NA|NA|"LGPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BDgraph"|"2.27"|NA|"R (>= 3.0.0), Matrix, igraph"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BEANSP"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BEDASSLE"|"1.5"|NA|NA|"MASS, matrixcalc, emdbook"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BEDMatrix"|"1.2.0"|NA|"R (>= 3.0.0)"|"methods, Rcpp (>= 0.12.1)"|"Rcpp, BH"|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BEQI2"|"2.0-0"|NA|"R (>= 3.0.2), methods"|"knitr, markdown, jsonlite, xtable, plyr, reshape2"|NA|"testthat"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BEST"|"0.4.0"|NA|NA|"coda, jagsUI (>= 1.3.6)"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BGLR"|"1.0.5"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BGPhazard"|"1.2.3"|NA|"R(>= 3.1.2)"|"survival"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BGSIMD"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BHH2"|"2016.05.31"|NA|"R (>= 2.0.0)"|NA|NA|"FrF2"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BH"|"1.60.0-2"|NA|NA|NA|NA|NA|NA|"BSL-1.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BIFIEsurvey"|"1.9.4-0"|NA|"R (>= 2.15.0)"|"graphics, grDevices, methods, miceadds (>= 1.8), mitools,
Rcpp, stats, utils, TAM"|"Rcpp, RcppArmadillo"|"car, Hmisc, intsvy, lavaan.survey, lme4, survey, svyPVpack"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BIGDAWG"|"1.5.5"|NA|"R (>= 3.2.0)"|"XML, haplo.stats, parallel"|NA|"knitr, rmarkdown"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BIOM.utils"|"0.9"|NA|"R (>= 3.0), utils"|NA|NA|"RJSONIO, MGRASTer"|NA|"BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BIOdry"|"0.3"|NA|"nlme, ecodist"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BIPOD"|"0.2.1"|NA|"R(>= 3.0.2)"|"Rcpp (>= 0.11.1)"|"Rcpp(>= 0.11.1), RcppArmadillo(>= 0.4.100.2.1)"|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BKPC"|"1.0"|NA|"R (>= 2.10)"|"kernlab"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BLCOP"|"0.3.1"|NA|"methods, MASS, quadprog"|"RUnit (>= 0.4.22), timeSeries, fBasics, fMultivar, fPortfolio
(>= 3011.81)"|NA|"sn, corpcor, mnormt"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BLR"|"1.4"|NA|"R (>= 3.1.2), SuppDists"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BMA"|"3.18.6"|NA|"survival, leaps, robustbase, inline, rrcov"|"methods"|NA|"MASS, forward"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BMN"|"1.02"|NA|"R (>= 2.6.0)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BMRV"|"1.31"|NA|"R (>= 3.1.1), stats"|NA|"BH"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BMS"|"0.3.4"|NA|"R (>= 2.5)"|"graphics, methods, stats"|NA|NA|NA|"Artistic-2.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BMhyd"|"1.2-8"|NA|NA|"corpcor, numDeriv, geiger, ape, TreeSim, phytools, phylobase,
mvtnorm, grDevices, graphics, methods, stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BNDataGenerator"|"1.0"|NA|"R (>= 3.0.0)"|NA|NA|"bnlearn"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BNPTSclust"|"1.1"|NA|"R(>= 3.1.2), mvtnorm, MASS"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BNPdensity"|"2015.5"|NA|"R(>= 2.14.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BNSP"|"1.1.0"|NA|"R (>= 3.1.0)"|NA|NA|"mvtnorm"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BOG"|"2.0"|NA|"R(>= 3.1.2), hash, DIME"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BOIN"|"2.4"|NA|NA|"Iso"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BPEC"|"1.0"|NA|"ape,maps,igraph"|"mvtnorm,maptools,sp,R2G2,phytools,fields,coda,methods"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSDA"|"1.01"|NA|"e1071, lattice"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSGS"|"2.0"|NA|"R (>= 3.1.1), MASS, compiler, pscl, plyr, batchmeans"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSGW"|"0.9.1"|NA|"survival, MfUSampler"|"foreach, doParallel"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSSasymp"|"1.1-2"|NA|NA|"fICA (>= 1.0-2), JADE"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSagri"|"0.1-8"|NA|"gamlss, multcomp, MCPAN"|"mvtnorm, boot, mratios"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BSquare"|"1.1"|NA|"quadprog, quantreg, VGAM"|NA|NA|"survival"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BTLLasso"|"0.1-2"|NA|"Matrix, parallel"|"Rcpp (>= 0.11.3), stringr"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BTR"|"1.2.3"|NA|"R (>= 3.0.3), methods"|"parallel, Rcpp (>= 0.11.4), foreach (>= 1.4.1), doParallel (>=
1.0.8), poweRlaw (>= 0.30.0), diptest (>= 0.75-7), igraph (>=
1.0.1), infotheo (>= 1.2.0), entropy (>= 1.2.1)"|"Rcpp"|"bnlearn (>= 3.8.1), knitr, rmarkdown"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BTSPAS"|"2014.0901"|NA|NA|"coda, splines, actuar, rjags, R2OpenBUGS, ggplot2, plyr"|NA|"BRugs"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BTYD"|"2.4"|NA|"hypergeo"|"Matrix"|NA|"knitr"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BVS"|"4.12.1"|NA|"MASS, msm, haplo.stats, R (>= 2.14.0)"|NA|NA|NA|NA|"Unlimited"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BWStest"|"0.2.0"|NA|NA|"memoise, Rcpp (>= 0.12.3)"|"Rcpp"|"testthat"|NA|"LGPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BaBooN"|"0.2-0"|NA|"R (>= 3.1.0), Rcpp (>= 0.11.2)"|"Hmisc, MASS, nnet, coda"|"Rcpp, RcppArmadillo"|"mice, lattice, norm"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BaM"|"1.0.1"|NA|"R (>= 3.0.1)"|"coda, dlm, MASS, mice, nnet"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BaPreStoPro"|"0.1"|NA|"stats, methods, graphics"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BaSTA"|"1.9.4"|NA|"R (>= 2.10)"|"snowfall"|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BacArena"|"1.5.1"|NA|"R (>= 3.0.0), sybil (>= 1.3.0), ReacTran (>= 1.4.2), deSolve
(>= 1.12), Matrix (>= 1.2)"|"igraph, methods, utils, stats, graphics, ggplot2, reshape2,
glpkAPI, Rcpp"|"Rcpp, RcppArmadillo, RcppEigen"|"sybilSBML, knitr, rmarkdown"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Bagidis"|"1.0"|NA|"abind"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BalanceCheck"|"0.1"|NA|"R (>= 3.0.1)"|"ade4, mvtnorm"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BalancedSampling"|"1.5.2"|NA|NA|"Rcpp (>= 0.11.1)"|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BarcodingR"|"1.0-1"|NA|"R (>= 3.2.1),ape,nnet,class,stats,sp"|NA|NA|"pegas,cluster,compiler,cclust,utils"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Barnard"|"1.6"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BatchExperiments"|"1.4.1"|NA|"R (>= 2.15.0), BatchJobs (>= 1.6)"|"checkmate (>= 1.5), BBmisc (>= 1.8), DBI, RSQLite (>= 1.0.0),
plyr"|NA|"randomForest, rpart, testthat"|NA|"BSD_3_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BatchJobs"|"1.6"|NA|"R (>= 2.15.0), BBmisc (>= 1.9), methods"|"brew, checkmate (>= 1.5.1), DBI, digest, fail (>= 1.2),
parallel, RSQLite (>= 1.0.0), sendmailR, stats, stringr, utils"|NA|"MASS, testthat"|NA|"BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayHap"|"1.0.1"|NA|"boa"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayHaz"|"0.1-3"|NA|"R (>= 1.8.0), splines"|NA|NA|"coda"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BaySIC"|"1.0"|NA|"R (>= 2.10), rjags, fields, poibin"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayesBD"|"1.0"|NA|NA|"Rcpp (>= 0.12.5), shiny"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayesBinMix"|"1.3"|NA|NA|"label.switching, foreach, doParallel"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayesBridge"|"0.6"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayesCR"|"2.0"|NA|"R(>= 3.1.2)"|"mvtnorm, Rlab, truncdist, mnormt, rootSolve"|NA|NA|NA|"GPL (>= 3.1.2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"BayesComm"|"0.1-2"|NA|NA|"Rcpp (>= 0.11.6), abind, coda, mvtnorm"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
